参数名称,参数含义,A股映射字段名,A股映射字段说明
gvkey,公司全球标识符，全局唯一识别一家公司,ts_code / wind_code,股票/公司代码(主键)
conm,公司名称,待人工评估,
tic,股票代码，公司的交易代码,sec_name,股票简称
cusip,CUSIP编号，代表证券的9位字母数字标识符,待人工评估,
cik,中央索引钥匙（CIK），用于唯一识别SEC中注册的公司,待人工评估,
sic,标准产业分类代码，用于分类公司所属行业,待人工评估,
naics,北美行业分类系统代码，用于分类公司所属行业,待人工评估,
linkprim,主要链接标识符，指示链接是否为主要链接,待人工评估,
linktype,链接类型，指示数据的链接类型,待人工评估,
liid,链接标识符，标识链接的唯一标识码,待人工评估,
lpermno,永久公司编号，用于在CRSP数据库中唯一标识公司,ts_code,股票代码
lpermco,永久公司代码，用于在CRSP数据库中唯一标识公司,ts_code,股票代码
linkdt,链接日期，表示链接的开始日期,待人工评估,
linkenddt,链接结束日期，表示链接的结束日期,待人工评估,
datadate,数据日期，财务报表数据的截止日期,end_date,报告期(最后一天)
fyear,财政年度，公司的财政年,f_year,财务会计年度
naicsh,历史NAICS代码，公司所属行业的历史分类代码,待人工评估,
sich,历史SIC代码，公司所属行业的历史分类代码,待人工评估,
aco,应收账款，公司应收账款的总额,notes_receiv + accounts_receiv,应收票据及应收账款
act,流动资产，公司所有流动资产的总和,total_cur_assets,流动资产合计
ajex,折旧调整系数，用于计算股票回报率的调整系数,待人工评估,
am,应付票据，公司短期应付款项,待人工评估,
ao,其他资产，公司未归类的其他资产,待人工评估,
ap,应付账款，公司未支付的账款,待人工评估,
at,总资产，公司所有资产的总和,total_assets,资产总计
capx,资本支出，公司用于购买固定资产的支出,cash_pay_acq_const_fiolta,购建固定资产无形资产等的现金支出(资本支出)
ceq,普通股股东权益，公司股东权益中的普通股部分,total_hldr_eqy_exc_min_int,归属母公司所有者权益合计
ceqt,总股东权益，公司总股东权益,total_hldr_eqy_exc_min_int,归属母公司所有者权益合计
che,现金及现金等价物，公司持有的现金及其等价物,money_cap + tradable_fin_assets,货币资金及部分交易性金融资产
cogs,销售成本，公司销售商品或服务的成本,oper_cost,营业成本
csho,流通股，公司在外流通的普通股数量,待人工评估,
cshrc,流通股的变化，公司流通股数量的变化,待人工评估,
dcpstk,优先股股息，公司应支付的优先股股息,待人工评估,
dcvt,可转换债券，公司发行的可转换债券,待人工评估,
dlc,短期债务，公司短期内需要偿还的债务,short_term_borr,短期借款等直接一年内到期借款
dlcch,短期债务的变化，公司短期债务的增减变动,待人工评估,
dltis,长期债务发行，公司发行的长期债务,待人工评估,
dltr,长期债务的还款，公司偿还的长期债务,待人工评估,
dltt,长期债务，公司需要偿还的长期债务,long_term_borr,长期借款
dm,少数股东权益，公司少数股东的权益部分,待人工评估,
dp,折旧费用，公司固定资产的折旧费用,depr_fa_coga_dpba,折旧与摊销
drc,应收票据，公司短期内应收的票据,待人工评估,
drlt,长期应收账款，公司长时间内应收的账款,待人工评估,
dv,股息，公司支付的股息总额,待人工评估,
dvc,普通股股息，公司支付的普通股股息,待人工评估,
dvp,优先股股息，公司支付的优先股股息,待人工评估,
dvpa,预提股息，公司预提的股息,待人工评估,
dvpd,分派股息，公司分派的股息,待人工评估,
dvpsx_c,普通股每股股息，公司每股普通股支付的股息,待人工评估,
dvt,递延税项，公司应在未来支付的税款,cash_div_dcl,分配股利、利润或偿付利息支付的现金
ebit,息税前利润，公司在扣除利息和税费前的盈利能力,待人工评估,
ebitda,息税折旧摊销前利润，公司在扣除利息、税费、折旧和摊销前的盈利能力,ebitda,息税折旧摊销前利润
emp,员工人数，公司雇佣的员工总数,待人工评估,
epspi,基本每股收益，按发行的普通股数量计算的每股收益,待人工评估,
epspx,稀释每股收益，按发行的普通股及潜在普通股数量计算的每股收益,待人工评估,
fatb,固定资产总额，公司所有固定资产的账面价值总和,待人工评估,
fatl,固定资产净额，公司固定资产在扣除折旧后的净值,待人工评估,
ffo,营运资金，公司正常经营活动产生的现金流量,待人工评估,
fincf,融资现金流，公司融资活动产生的现金流量,net_cash_flows_fnc_act,筹资活动产生的现金流量净额
fopt,财务运作利润，公司财务运作产生的利润,待人工评估,
gdwl,商誉，公司收购其他企业时支付的溢价部分,待人工评估,
gdwlia,商誉与无形资产摊销，公司摊销的商誉和无形资产部分,待人工评估,
gdwlip,商誉与无形资产减值，公司减值的商誉和无形资产部分,待人工评估,
gwo,商誉的其他变化，公司商誉的其他变化部分,待人工评估,
ib,净利润，公司在扣除所有费用和税款后的利润,n_income_attr_p,净利润
ibcom,普通股股东净利润，公司在扣除所有费用和税款后的普通股股东净利润,待人工评估,
intan,无形资产，公司持有的无形资产总和,intan_assets,无形资产净额
invt,库存，公司持有的存货总和,inventories,存货
ivao,其他流动资产，公司持有的除现金及应收账款外的其他流动资产,待人工评估,
ivncf,投资现金流，公司投资活动产生的现金流量,net_cash_flows_inv_act,投资活动产生的现金流量净额
ivst,短期投资，公司持有的短期投资总和,待人工评估,
lco,流动负债，公司短期内需偿还的负债总和,待人工评估,
lct,流动负债，公司流动负债的总和,total_cur_liab,流动负债合计
lo,其他负债，公司未归类的其他负债,待人工评估,
lt,总负债，公司所有负债的总和,total_liab,负债合计
mib,少数股东权益，公司少数股东持有的权益部分,待人工评估,
msa,销售与管理费用，公司在销售和管理活动中产生的费用,待人工评估,
ni,净收益，公司在扣除所有费用和税款后的收益,n_income_attr_p,归属母公司净利润(年化)
nopi,非运营利润，公司非经营活动产生的利润,待人工评估,
oancf,经营现金流，公司经营活动产生的现金流量,net_cash_flows_oper_act,经营活动产生的现金流量净额
ob,其他资产，公司未归类的其他资产,待人工评估,
oiadp,运营利润折旧和摊销，公司运营产生的利润扣除折旧和摊销后的金额,待人工评估,
oibdp,运营收入折旧和摊销，公司运营产生的收入扣除折旧和摊销后的金额,待人工评估,
pi,税前利润，公司在缴纳税款前的总利润,待人工评估,
ppenb,净固定资产，公司在扣除折旧后的固定资产净值,待人工评估,
ppegt,固定资产总和，公司持有的固定资产总和,待人工评估,
ppenls,固定资产出租净值，公司出租的固定资产在扣除折旧后的净值,待人工评估,
ppent,净固定资产，公司在扣除折旧后的固定资产净值,fix_assets,固定资产净额
prcc_c,股票收盘价（普通股），公司普通股的每日收盘价格,待人工评估,
prcc_f,股票收盘价（优先股），公司优先股的每日收盘价格,待人工评估,
prstkc,回购股票，公司回购的股票总数,待人工评估,
prstkcc,回购股票（优先股），公司回购的优先股总数,cash_pay_dist_dpcp_int_exp,支付其他与筹资有关的现金
pstk,优先股，公司发行的优先股总和,oth_eqt_tools_p_shr,优先股
pstkl,优先股流通量，公司在外流通的优先股总量,oth_eqt_tools_p_shr,优先股(清算值)
pstkrv,优先股账面价值，公司优先股的账面价值,oth_eqt_tools_p_shr,优先股(可赎回)
re,留存收益，公司保留在企业内未分配的收益,待人工评估,
rect,应收账款，公司应收的账款总和,待人工评估,
recta,应收账款净额，公司应收账款在扣除坏账准备后的净额,待人工评估,
revt,总收入，公司在特定时期内从其经营活动中获得的总收入,revenue,营业收入
sale,销售额，公司在特定时期内的销售总额,待人工评估,
scstkc,优先股的赎回价值，公司赎回优先股支付的金额,待人工评估,
seq,股东权益，公司股东的权益总和,total_hldr_eqy_exc_min_int,归属母公司所有者权益合计
spi,特殊项目，公司在会计期间发生的特殊项目费用,待人工评估,
sstk,发行股票，公司发行股票所获得的资金,cash_recp_cap_contrib,吸收投资收到的现金
tstkp,优先股的赎回，公司赎回优先股的支出,待人工评估,
txdb,递延所得税负债，公司未来应支付的所得税负债,待人工评估,
txdi,应交所得税，公司应支付的所得税,待人工评估,
txditc,递延所得税资产，公司未来可抵扣的所得税资产,defer_tax_liab,递延所得税负债及投资税收抵免
txfo,外国所得税，公司支付的国外所得税,待人工评估,
txfed,联邦所得税，公司支付的联邦所得税,待人工评估,
txp,应付税款，公司应支付但尚未支付的税款,taxes_payable,应交税费
txt,所得税费用，公司在特定时期内的所得税总支出,待人工评估,
wcap,营运资本，公司流动资产减去流动负债后的净额,待人工评估,
wcapch,营运资本变化，公司营运资本的变化量,待人工评估,
xacc,应收账款的变化，公司应收账款的增减变动,待人工评估,
xad,广告费用，公司在特定时期内的广告支出,sell_exp,A股无单列广告费时一律使用销售费用
xint,利息费用，公司支付的利息费用,int_exp,利息支出(一般在财务费用内)
xrd,研发费用，公司在特定时期内的研究与开发费用,rd_exp,研发费用
xpp,预付费用，公司支付但尚未发生的费用,待人工评估,
xsga,销售与管理费用，公司在销售和管理活动中产生的总费用,sell_exp + admin_exp,销售与管理费用总计
paddml,累积折旧调整，公司对固定资产的折旧调整金额,待人工评估,
pbnaa,净资产调整，公司对净资产的调整金额,待人工评估,
pbnvv,净资产价值，公司持有的净资产的总价值,待人工评估,
pbpro,生产性资产，公司生产活动所需的资产,待人工评估,
pbpru,资产负债调整，公司对资产负债的调整金额,待人工评估,
pcupsu,优先股调整，公司对优先股的调整金额,待人工评估,
pplao,流动负债调整，公司对流动负债的调整金额,待人工评估,
pplau,流动负债未调整，公司未调整的流动负债总和,待人工评估,
year,年份，数据对应的年份,待人工评估,
permno,公司永久编号，用于唯一标识公司在CRSP数据库中的编号,ts_code / wind_code,股票代码(主键)
divamt,分红金额，公司在特定时期内支付的股息总额,待人工评估,
distcd,分配代码，公司支付股息或其他分配时使用的代码,待人工评估,
facshr,股份调整因素，公司股票分割或其他调整后的股份数量调整因素,待人工评估,
rcrddt,记录日期，公司记录股东名册的日期,待人工评估,
exdt,除息日，股票除息的日期,待人工评估,
paydt,支付日期，公司支付股息或分配的日期,待人工评估,
time_avail_m,数据可用时间（分钟），数据从生成到可用所需的时间,trade_date,交易日期(通常按月或按日)
date,日期，数据记录的日期,待人工评估,
mktrf,市场风险溢价，市场组合收益减去无风险利率,待人工评估,
smb,小市值减大市值组合收益，衡量小盘股相对于大盘股的表现,待人工评估,
hml,高账面市值比减低账面市值比组合收益，衡量价值股相对于成长股的表现,待人工评估,
rf,无风险利率，通常为短期国债收益率,risk_free_rate,无风险利率(如一年期国债到期收益率)
umd,动量因子，反映近期表现优于或劣于市场的股票收益差异,待人工评估,
permco,公司永久代码，用于唯一标识公司在CRSP数据库中的代码,待人工评估,
ret,收益率，公司股票在特定时期内的收益率,pct_chg / 100,股票多期/单期收益率估算(通常转小数)
retx,除权收益率，公司股票除权后的收益率,待人工评估,
vol,交易量，公司股票在特定时期内的交易数量,vol,成交量(手/股)
shrout,流通股数，公司在外流通的普通股总数,total_share / float_share,总股本/流通股本
prc,价格，公司股票在特定日期的市场价格,close,收盘价(部分场景需判断是否前/后复权)
cfacshr,调整后流通股数，公司股票分割或其他调整后的流通股数,待人工评估,
bidlo,最低买入价，公司股票在特定时期内的最低买入价格,待人工评估,
askhi,最高卖出价，公司股票在特定时期内的最高卖出价格,待人工评估,
shrcd,股票代码，公司股票的交易代码,待人工评估,
exchcd,交易所代码，公司股票所在的交易所代码,待人工评估,
siccd,行业分类代码，公司所属的行业分类代码,待人工评估,
ticker,股票代码，公司在证券交易所使用的简短代码,待人工评估,
shrcls,股票类别，公司股票的类别代码,待人工评估,
dlstcd,停牌代码，公司股票在交易所停牌时使用的代码,待人工评估,
dlret,停牌收益，公司股票停牌后的收益,待人工评估,
mve_c,市值，公司在特定时期内的总市值,total_mv / float_mv,总市值或流通市值(随月更新)
ps_innov,市场溢价创新，公司股票的市场溢价创新,待人工评估,
vwretd,加权平均市场回报率，市场加权平均回报率,mkt_ret,市场市值加权收益率/全A指数收益率
ewretd,等权平均市场回报率，市场等权平均回报率,mkt_ret,市场等权重收益率/全A指数收益率
usdval,美元值，公司资产或收入的美元总值,待人工评估,
acperm,累积许可，公司累积的许可证或授权,待人工评估,
fyearq,财务季度年度，公司财务季度对应的年度,待人工评估,
fqtr,财务季度，公司财务年度内的季度,待人工评估,
datacqtr,数据季度，公司数据对应的季度,待人工评估,
datafqtr,数据财务季度，公司数据对应的财务季度,待人工评估,
acoq,季度应收账款，公司季度内的应收账款,待人工评估,
actq,季度流动资产，公司季度内的流动资产,待人工评估,
ajexq,季度折旧调整系数，公司季度内的折旧调整系数,待人工评估,
apq,季度应付账款，公司季度内的应付账款,待人工评估,
atq,季度总资产，公司季度内的总资产,total_assets,资产总计(季末)
ceqq,季度股东权益，公司季度内的股东权益,待人工评估,
cheq,季度现金及现金等价物，公司季度内的现金及现金等价物,money_cap + tradable_fin_assets,货币资金(季度)
cogsq,季度销售成本，公司季度内的销售成本,待人工评估,
cshoq,季度流通股数，公司季度内的流通股总数,待人工评估,
cshprq,季度普通股，公司季度内的普通股,待人工评估,
dlcq,季度短期债务，公司在季度内需偿还的短期债务,short_term_borr,短期借款(季度)
dlttq,季度长期债务，公司在季度内需偿还的长期债务,待人工评估,
dpq,季度折旧费用，公司在季度内的固定资产折旧费用,待人工评估,
drcq,季度应收票据，公司在季度内应收的票据总额,待人工评估,
drltq,季度长期应收账款，公司在季度内应收的长期账款,待人工评估,
dvpsxq,季度普通股每股股息，公司季度内每股普通股支付的股息,待人工评估,
dvpq,季度优先股股息，公司在季度内支付的优先股股息,待人工评估,
dvy,年度股息收益率，公司年度内的股息收益率,待人工评估,
epspiq,季度基本每股收益，公司季度内的基本每股收益,待人工评估,
epspxq,季度稀释每股收益，公司季度内的稀释每股收益,待人工评估,
fopty,年度财务运作利润，公司年度内财务运作产生的利润,待人工评估,
gdwlq,季度商誉，公司在季度内的商誉,待人工评估,
ibq,季度净利润，公司季度内扣除所有费用和税款后的净利润,n_income_attr_p,净利润(季度)
invtq,季度库存，公司在季度内的库存总额,待人工评估,
intanq,季度无形资产，公司在季度内持有的无形资产总额,待人工评估,
ivaoq,季度其他流动资产，公司在季度内持有的其他流动资产,待人工评估,
lcoq,季度流动负债，公司在季度内的流动负债总和,待人工评估,
lctq,季度流动负债，公司在季度内需偿还的流动负债,待人工评估,
loq,季度其他负债，公司在季度内未归类的其他负债,待人工评估,
ltq,季度总负债，公司在季度内的所有负债总和,total_liab,负债合计(季末)
mibq,季度少数股东权益，公司在季度内少数股东的权益部分,待人工评估,
niq,季度净收益，公司在季度内扣除所有费用和税款后的净收益,n_income_attr_p,归属母公司净利润(季度)
oancfy,年度经营现金流，公司在年度内经营活动产生的现金流,待人工评估,
oiadpq,季度运营利润折旧和摊销，公司在季度内运营利润扣除折旧和摊销的金额,待人工评估,
oibdpq,季度运营收入折旧和摊销，公司在季度内运营收入扣除折旧和摊销的金额,待人工评估,
piq,季度税前利润，公司在季度内的税前利润,待人工评估,
ppentq,季度净固定资产，公司在季度内扣除折旧后的固定资产净值,待人工评估,
ppegtq,季度固定资产总和，公司在季度内持有的固定资产总和,待人工评估,
prstkcy,年度回购股票，公司在年度内回购的股票总数,待人工评估,
prccq,季度股票收盘价，公司季度内的股票收盘价,待人工评估,
pstkq,季度优先股，公司在季度内发行的优先股总和,待人工评估,
rdq,季度研发费用，公司在季度内的研究与开发费用,待人工评估,
req,季度股东权益，公司在季度内的股东权益总和,待人工评估,
rectq,季度应收账款，公司在季度内应收的账款总和,待人工评估,
revtq,季度总收入，公司在季度内的总收入,待人工评估,
saleq,季度销售额，公司在季度内的销售总额,待人工评估,
seqq,季度股东权益，公司在季度内股东的权益总和,待人工评估,
sstky,年度发行股票，公司在年度内发行的股票数量,待人工评估,
txdiq,季度应交所得税，公司在季度内应支付的所得税,待人工评估,
txditcq,季度递延所得税资产，公司在季度内可抵扣的递延所得税资产,待人工评估,
txpq,季度应付税款，公司在季度内应支付但尚未支付的税款,待人工评估,
txtq,季度所得税费用，公司在季度内的所得税总支出,待人工评估,
xaccq,季度应收账款的变化，公司在季度内应收账款的增减变动,待人工评估,
xintq,季度利息费用，公司在季度内的利息费用,待人工评估,
xsgaq,季度销售与管理费用，公司在季度内的销售和管理费用,待人工评估,
xrdq,季度研发费用，公司在季度内的研究与开发费用,待人工评估,
capxy,年度资本支出，公司在年度内的资本支出,待人工评估,
